course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CECS 410,Computers and Networks,3,,,Course design assumes familiarity with computers,
CECS 419,Theory of Computation,3,,,CECS 329 with a grade of “C” or better,
CECS 427,Dynamic Networks,3,,,"Completion of at least 60 units, CECS 328",
CECS 428,Analysis of Algorithms,3,,,CECS 328 with a grade of “C” or better,
CECS 429,Search Engine Technology,3,,,CECS 328 and (CECS 381 or MATH 380 or E E 381) all with a grade of “C” or better,
CECS 440,Computer Architecture,3,,,"CECS 346 and CECS 361 , all with a grade of “C” or better",
CECS 440H,Computer Architecture,3,,,( CECS 346 or CECS 346H ) and CECS 361 all with a “C” or better,
CECS 443,Software Project Management and Testing,3,,,CECS 343 with a grade of “C” or better,
CECS 444,Compiler Construction,3,,,"CECS 328 and CECS 341 , all with a grade of “C” or better",
CECS 447,Embedded Systems III,3,,,CECS 347 with a grade of “C” or better,
CECS 448,User Interface Design,3,,,CECS 343 with a grade of “C” or better or consent of instructor,
CECS 449,Computer Graphics,3,,,CECS 328 and CECS 229 or MATH 247 all with a grade of “C” or better,
CECS 450,Data Visualization,3,,,CECS 343 with a grade of “C” or better Introduction to various techniques in data visualization supporting the analytical process of turning data into wisdom,
CECS 451,Artificial Intelligence,3,,,CECS 328 with a grade of “C” or better,
CECS 453,Mobile Application Development,3,,,CECS 328 with a grade of “C” or better or consent of the instructor,
CECS 455,Introduction to Game Programming,3,,,CECS 328 with a grade of “C” or better or consent of instructor,
CECS 456,Machine Learning,3,,,CECS 381 or E E 381 or STAT 381 with a grade of “C” or better,
CECS 457,Applied Machine Learning,3,,,CECS 456,
CECS 460,System on Chip Design,3,,,CECS 361 with a grade of “C” or better,
CECS 460H,System on Chip Design,3,,,CECS 361 with a “C” or better,
CECS 461,Hardware/Software Co-design,3,,,CECS 341 or CECS 440 all with a grade of “C” or better,
CECS 463,Digital Signal Processing Design and Simulation,3,,,"CECS 271 and CECS 361 , all with a grade of “C” or better",
