term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),06A,1084,Spring_2026|BIOL 207|06A|1084,FALSE,\N,"12,27",LAB,Th,9-11:45AM,,MLSC-133,Aguilar A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),07A,5853,Spring_2026|BIOL 207|07A|5853,FALSE,\N,"12,27",LAB,Th,1-3:45PM,available,MLSC-129,Garcia J,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),22A,9665,Spring_2026|BIOL 207|22A|9665,FALSE,\N,"12,27",LAB,F,2-4:45PM,,MLSC-129,Sharar E,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),23A,9666,Spring_2026|BIOL 207|23A|9666,FALSE,\N,"12,27",LAB,Th,5-7:45PM,,MLSC-133,Felix J,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),30A,12564,Spring_2026|BIOL 207|30A|12564,FALSE,\N,310,LAB,F,2-4:45PM,,MLSC-133,Garcia J,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,01A,3312,Spring_2026|BIOL 208|01A|3312,FALSE,\N,"1,6,27",LEC,TuTh,12:30-1:45PM,available,HSCI-100,Gardner M,"Class instruction is: Face to Face - On Campus.Some seats are reserved for majors that require this course. Reserved seating expires December 1, 2025.Optional Supplemental Instruction course available: SI 60, SECTION # 10, CLASS #4107 (TuTh 2-3:15pm);OR SI 60, SECTION #11, CLASS #4108(TuTh 2:00-3:15pm); OR SI 60, SECTION #12, CLASS #4541(TuTh 11:00-12:15pm)"
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,02A,4687,Spring_2026|BIOL 208|02A|4687,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,available,MLSC-134,Moore C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,03A,3966,Spring_2026|BIOL 208|03A|3966,FALSE,\N,"12,27",LAB,W,4-6:45PM,,MLSC-134,Carrion B,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,04A,6886,Spring_2026|BIOL 208|04A|6886,FALSE,\N,"12,27",LAB,Th,9-11:45AM,,MLSC-134,Gardner M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,05A,6887,Spring_2026|BIOL 208|05A|6887,FALSE,\N,"12,27",LAB,F,9-11:45AM,,MLSC-134,Carrion B,Class instruction is: Face to Face - On Campus.
