course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
NRSG 731L,Adult Gerontology Primary Care Clinical Studies for Advanced Practice: Clinical Practicum II,8,,,"Admission to the DNP Graduate AGPCNP Program completion of the DNP Core courses, NRSG 730, NRSG 730L, clinical pre-test and/or consent of instructor","NRSG 731, NRSG 792C The focus is to prepare the DNP student to apply theoretical knowledge related to chronic illnesses of adult/geriatric patients in supervised primary clinical setting"
NRSG 732L,Adult Gerontology Primary Care Clinical Residency I,2,,,"Admission to the DNP Graduate AGPCNP nursing program and completion of NRSG 730, NRSG 730L, NRSG 731, NRSG 731L","NRSG 795, NRSG 792D"
NRSG 740,Psychiatric-Mental Health Theory for Adults and Elderly for Advanced Practice Nursing I,3,,,"Admission to the DNP Graduate Program, completion of core courses and/or consent of instructor",NRSG 740L
NRSG 740L,Psychiatric-Mental Health Clinical Studies for Adults and Elderly for Advanced Practice Nursing Practicum I,8,,,"Admission to the DNP Graduate Program, completion of all DNP core classes and/or consent of the instructor","NRSG 740, NRSG 792B"
NRSG 741,Psychiatric-Mental Health Theory for Children and Adolescents for Advanced Practice Nursing II,3,,,"Admission to the DNP Graduate Program, completion of all DNP core classes, NRSG 740, NRSG 740L, and/or consent of instructor","NRSG 741L, NRSG 792C"
NRSG 741L,Psychiatric-Mental Health Clinical Studies for Children and Adolescents for Advanced Practice Nursing Practicum II,8,,,"Admission to the DNP Graduate Program, completion of all core classes, NRSG 740, NRSG 740L, and/or consent of instructor","NRSG 741, NRSG 792C"
NRSG 742L,Psychiatric-Mental Health DNP Clinical Residency I,2,,,"Admission to the DNP Graduate Program, completion of all DNP core classes, and specialty classes and/or consent of instructor","NRSG 795, NRSG 792D"
NRSG 750,Pediatric Theories for Advanced Practice Nursing I,3,,,"Admission to the DNP Graduate Program, completion of all core courses, clinical pre-test and/or consent of instructor","NRSG 750L, NRSG 792B"
NRSG 750L,Pediatric Clinical Studies for Advanced Practice Nursing Practicum I,8,,,"Admission to the DNP Graduate Program, completion of all core courses, clinical pre-test, and/or consent of instructor",NRSG 750
NRSG 751,Pediatric Theories for Advanced Practice Nursing II,3,,,"Admission to the DNP Graduate Program, completion of all core courses, NRSG 750, 750L and clinical pre-test and/or consent of instructor","NRSG 751L, NRSG 792C"
NRSG 751L,Pediatric Clinical Studies for Advanced Practice Nursing Practicum II,8,,,"Admission to the DNP Graduate Program, completion of all core courses, NRSG 750, 750L, and clinical pre-test and/or consent of instructor",NRSG 751
NRSG 752L,Pediatric Nurse Practitioner Clinical Residency I,2,,,"Admission to the DNP Graduate Program, completion of all core courses, DNP 650, 650L, 651, 651L, and clinical pre-test and/or consent of instructor","NRSG 795, NRSG 792D"
NRSG 760,Adult Gerontology Acute Care Theories for Adv Practice Nursing I,3,,,"Admission to the DNP Graduate Program, completion of all core classes, clinical pre-test and/or consent of instructor","NRSG 760L, NRSG 792B"
NRSG 760L,Adult Gerontology Acute Care Clinical Studies for Advanced Practice Nursing Practicum I,8,,,"Admission to the DNP Graduate Program, completion of all core classes, clinical pre-test and/or consent of instructor","NRSG 760, NRSG 792B"
NRSG 761,Adult Gerontology Acute Care Theories for Adv Practice Nursing II,3,,,"Admission to the DNP Graduate Program, completion of all core classes, NRSG 760, NRSG 760L and clinical pre-test and/or consent of instructor","NRSG 761L, NRSG 792C"
NRSG 761L,Adult Gerontology Acute Care Clinical Studies for Advanced Practice Nursing Practicum II,8,,,"Admission to the DNP Graduate Program, completion of all core classes, NRSG 760, NRSG 760L, and clinical pre-test and/or consent of instructor","NRSG 761, NRSG 792C"
NRSG 762L,Adult Gerontology Acute Care Clinical Residency I,2,,,"Admission to the DNP Graduate Program, completion of all core courses, NRSG 760, NRSG 760L, NRSG 761, and NRSG 761L and/or consent of instructor","NRSG 795, NRSG 792D"
NRSG 792A,Integrative Scholarship I: Evidence Based Practice,3,,,"Admission to the DNP Graduate Program, completion of Proposal Writing, Data Management, Advanced EBP courses and/or consent of instructor","NRSG 703, NRSG 703L, NRSG 702"
NRSG 795,National Certification Review Course,1,,,Completion of all DNP and Clinical practicum courses and/or consent of instructor,"NRSG DNP Clinical Residency I, NRSG 792D"
NUTR 331,Nutrition through the Life Cycle,3,,,"BIOL 207 , NUTR 132","For Dietetics Concentration only; NUTR 234 Nutritional needs with emphasis on changes through the life cycle, including pregnancy and lactation, infancy, childhood, adolescence, adulthood, and aging"
NUTR 436A,Advanced Nutrition I,3,,,"NUTR 331 Metabolism of proteins, fats, carbohydrates; interrelationship of nutrients; principles of determining nutritional requirements of individuals","NUTR 331 Metabolism of proteins, fats, carbohydrates; interrelationship of nutrients; principles of determining nutritional requirements of individuals"
NUTR 436B,Advanced Nutrition II,3,,,Completion of at least 60 units,NUTR 436A
NUTR 591B,Seminar in Dietetic Practice,3,,,,NUTR 591A
PSY 100,General Psychology,3,,,,"Students who score 147 or above on the English Placement Test or “C” or better in one of the following AFRS 100A , ASAM 100A , CHLS 104A , ENGL 100A or ALI 150 or equivalent"
PSY 438,Psycholinguistics,3,,,"LING major or minor and LING 170 , or PSY major and PSY 301","LING major or minor and LING 170 , or PSY major and PSY 301"
SDHE 640,Professional Development Seminar: Student Development in Higher Education,1,,,,SDHE 510
SPAN 225,Spanish for Healthcare,3,,,"SPAN 201A or equivalent, or department consent",SPAN 201B or SPAN 250
SPAN 227,Spanish for Mental Health,3,,,SPAN 201B or equivalent or department consent,SPAN 250 or SPAN 300
SPAN 314,Oral Communication,3,,,,SPAN 300
SPAN 315,Professional Conversation for Spanish Heritage Speakers,3,,,,SPAN 300 or equivalent
STAT 108,Statistics for Everyday Life,3,,,,Appropriate CSU Multiple Measures Placement or concurrent enrollment in STAT 90
STAT 550,Multivariate Statistical Analysis,3,,,STAT 381,STAT 510
THEA 214,Intermediate Acting,3,,,THEA 112,THEA 112
THEA 215,Introduction to Audition Techniques,3,,,,THEA 114A
THEA 221,History of Theatre and Drama to 1660,3,,,THEA 103,THEA 103
THEA 222,History of Theatre and Drama Since 1660,3,,,,THEA 103 or consent of instructor
THEA 271,Stage Management,3,,,,"THEA 140 , THEA 240 , THEA 340 , or THEA 440"
THEA 443,Special Applications In Theatrical Makeup,3,,,THEA 344 or consent of instructor Corequisite: THEA 440,THEA 440
THEA 543,Special Applications In Theatrical Makeup,3,,,THEA 344 or consent of instructor,THEA 517 or THEA 518 or THEA 519 Special effects and new trends in theatrical makeup design techniques for characterization and style
WGSS 330,Feminist Politics of Rage,3,,,Completion of at least 60 units or with the consent of the instructor,Completion of at least 60 units or with the consent of the instructor
WGSS 366,Queer Literature and Queer Reading,3,,,GE foundations and completion of at least 60 units,GE foundations and completion of at least 60 units
WGSS 445A,Latinas and Revolution: Central America and Late 20th Century Mexico,3,,,,ENGL 100B or GE English Composition (Area 1A) and upper division standing or consent of instructor
