term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CRJU,402,CRJU 402,CRIME AND INEQUALITY,3,,01,10108,Spring_2026|CRJU 402|01|10108,FALSE,\N,,LEC,MW,3:30-4:45PM,,HHS1-204,Chavez E,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,402,CRJU 402,CRIME AND INEQUALITY,3,,02,12408,Spring_2026|CRJU 402|02|12408,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Lopez A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,403,CRJU 403,COMP CRIM TRANSNATIONAL CRIMES,3,,01,8735,Spring_2026|CRJU 403|01|8735,FALSE,\N,,LEC,MW,12:30-1:45PM,available,HHS1-204,Wang Z,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,404,CRJU 404,HOMELAND SECURITY,3,,01,6046,Spring_2026|CRJU 404|01|6046,FALSE,\N,279,LEC,M,7-9:45PM,,HHS1-105,Khan S,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,406,CRJU 406,DELINQUENCY/JUVENILE JUST SYST,3,,01,7571,Spring_2026|CRJU 406|01|7571,FALSE,\N,"279,305",LEC,NA,NA,,ONLINE-ONLY,Tom K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,406,CRJU 406,DELINQUENCY/JUVENILE JUST SYST,3,,02,10119,Spring_2026|CRJU 406|02|10119,FALSE,\N,,LEC,TuTh,11-12:15PM,,HSD-113,Tom K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,407,CRJU 407,WHITE COLLAR CRIME,3,,01,6388,Spring_2026|CRJU 407|01|6388,FALSE,\N,,LEC,TuTh,11-12:15PM,,HHS1-204,Vickovic S,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,407,CRJU 407,WHITE COLLAR CRIME,3,,02,9478,Spring_2026|CRJU 407|02|9478,FALSE,\N,"279,305",LEC,NA,NA,,ONLINE-ONLY,McCluskey D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,409,CRJU 409,DRUGS AND THE DRUG WAR,3,,01,4273,Spring_2026|CRJU 409|01|4273,FALSE,\N,279,SEM,Th,4-6:45PM,available,HHS1-201,Diaz M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,412,CRJU 412,CRIMINAL INVESTIGATION,3,,01,2607,Spring_2026|CRJU 412|01|2607,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,McCluskey D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,412,CRJU 412,CRIMINAL INVESTIGATION,3,,02,5790,Spring_2026|CRJU 412|02|5790,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,McCluskey D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,412,CRJU 412,CRIMINAL INVESTIGATION,3,,03,7074,Spring_2026|CRJU 412|03|7074,FALSE,\N,,LEC,M,7-9:45PM,,HHS1-201,Mori K,Class instruction is: Face to Face - On Campus.
